Year	Sector	Reporting Legal Name	Facility Name	CO2 (tonnes CO2 eq)	CH4 (tonnes CO2 eq)	N2O (tonnes CO2 eq)	HFC (tonnes CO2 eq)	PFC (tonnes CO2 eq)	SF6 (tonnes CO2 eq)	Total (tonnes CO2 eq)
2009	Chemical Manufacturing	Shell Chemicals Canada Ltd	Scotford Chemical Plant	228838	175	563	4315	316	0	234207
2009	Chemical Manufacturing	Air Liquide Canada Inc.	Scotford Complex	425127	746	11756	0	0	0	437630
2009	Chemical Manufacturing	Dow Chemical Canada ULC	Western Canada Operations	1434230	2253	3494	1144	0	0	1441121
2009	Chemical Manufacturing	Air Products Canada Ltd.	Edmonton Hydrogen Facility	1067921	1055	343	0	0	0	1069319
2009	Coal Mining	TransAlta Generation Partnership	Highvale Coal Mine	91868	130215	872	0	0	0	222955
2009	Coal Mining	Coal Valley Resources Inc.	Coal Valley Mine	153817	48440	1090	0	0	0	203347
2009	Conventional Oil and Gas Extraction	Nexen Inc.	Balzac Gas Plant	182667	11192	1258	0	0	0	195116
2009	Conventional Oil and Gas Extraction	Blaze Energy Ltd.	Brazeau Gas Plant	93836	60592	2786	0	0	0	157215
2009	Conventional Oil and Gas Extraction	Inter Pipeline Extraction Ltd.	Cochrane Extraction Plant	424531	10088	2645	0	0	0	437263
2009	Conventional Oil and Gas Extraction	Taqa North Ltd.	East Crossfield Gas Plant 9-14-28-1W5	118380	5107	434	0	0	0	123922
2009	Conventional Oil and Gas Extraction	Talisman Energy Inc.	Edson Gas Plant	224456	7105	1359	0	0	0	232920
2009	Conventional Oil and Gas Extraction	ConocoPhillips Canada Operations Ltd.	Elmworth Gas Plant	208008	24797	1621	0	0	0	234426
2009	Conventional Oil and Gas Extraction	Spectra Energy Empress LP	Empress Straddle Gas Plant	372660	4276	1738	0	0	0	378674
2009	Conventional Oil and Gas Extraction	Suncor Energy Oil and Gas Partnership	Hanlan Robb Gas Plant	369678	18083	932	0	0	0	388693
2009	Conventional Oil and Gas Extraction	Taylor Processing Inc.	Harmattan Gas Processing Plant	299086	20972	1471	0	0	0	321529
2009	Conventional Oil and Gas Extraction	SemCams ULC	Kaybob Amalgamated Sour Gas Plant	211605	12652	2366	0	0	0	226623
2009	Conventional Oil and Gas Extraction	SemCams ULC	Kaybob South #3 Gas Plant	460471	6303	2312	0	0	0	469087
2009	Conventional Oil and Gas Extraction	Keyera Energy	Nevis Gas Plant	112663	21202	7241	0	0	0	141107
2009	Conventional Oil and Gas Extraction	Imperial Oil Resources	Quirk Creek Gas Plant	132468	8640	943	0	0	0	142050
2009	Conventional Oil and Gas Extraction	Husky Oil Operations Limited	Ram River	534353	4221	1439	0	0	0	540013
2009	Conventional Oil and Gas Extraction	Keyera Energy	Rimbey Gas Plant	276300	7431	3026	0	0	0	286757
2009	Conventional Oil and Gas Extraction	Shell Canada Limited	Shell Burnt Timber Gas Plant	184146	1211	289	0	0	0	185646
2009	Conventional Oil and Gas Extraction	Shell Canada Limited	Caroline Complex	585932	4413	1499	0	0	0	591844
2009	Conventional Oil and Gas Extraction	Shell Canada Limited	Jumping Pound Complex	200093	6152	547	0	0	0	206791
2009	Conventional Oil and Gas Extraction	Keyera Energy	Strachan Gas Plant	285693	10268	2523	0	0	0	298484
2009	Conventional Oil and Gas Extraction	Devon Canada Corporation	Wapiti Gas Plant	116307	5984	1301	0	0	0	123591
2009	Conventional Oil and Gas Extraction	Shell Canada Limited	Waterton Complex	210666	4802	3426	0	0	0	218894
2009	Conventional Oil and Gas Extraction	SemCams ULC	Windfall 8-17 GP	156823	11833	4111	0	0	0	172767
2009	Conventional Oil and Gas Extraction	Suncor Energy Oil and Gas Partnership	Wildcat Hills Gas Plant	116445	4844	2368	0	0	0	123657
2009	Conventional Oil and Gas Extraction	Pengrowth Corporation	Olds Gas Plant	107482	3200	1730	0	0	0	112413
2009	Electric Power Generation	Alberta Power (2000) Ltd.	Battle River Generating Station	5147641	1325	22781	0	0	0	5171747
2009	Electric Power Generation	Calgary Energy Centre No. 2 Inc.	Calgary Energy Centre	332625	627	2662	0	0	0	335913
2009	Electric Power Generation	TransCanada Energy Ltd.	Carseland Power Plant	320273	543	2453	0	0	0	323268
2009	Electric Power Generation	Encana Corporation	Cavalier Power Plant	173874	437	1300	0	0	0	175610
2009	Electric Power Generation	City of Medicine Hat	Electric Utility - Generation	305218	2924	2434	0	0	0	310576
2009	Electric Power Generation	TransAlta Generation Partnership	Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant	340137	664	2759	0	0	0	343559
